,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN
41880,2601758,Pamlico Mine,M,Facility,Abandoned,08/26/1982,M04639,Peter  Candy,L05736,Walker Lake Minerals Inc,NV,26,21,Mineral,2.0,Other,02/03/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41885,2601763,Little Tommy (G) #9,M,Surface,Abandoned,09/09/1981,M37375,Premium Metals Inc,L37375,Premium Metals Inc,NV,26,3,Clark,1.0,Other,09/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41886,2601764,Dead Horse Wells,M,Surface,Abandoned,09/02/1982,M04639,Peter  Candy,L05736,Walker Lake Minerals Inc,NV,26,21,Mineral,2.0,Other,02/03/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41887,2601765,Cory,M,Surface,Abandoned,01/18/1983,M04639,Peter  Candy,L05736,Walker Lake Minerals Inc,NV,26,21,Mineral,2.0,Other,02/03/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41888,2601766,Sloppy Weather Claims,M,Surface,Abandoned,03/23/1982,M36016,Ma-Gar Mining & Exploration Corp,L36016,Ma-Gar Mining & Exploration Corp,NV,26,31,Washoe,2.0,Corporation,09/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41889,2601767,Raven Mine,M,Underground,Abandoned,03/21/1983,M04561,Morrill John I,L05649,Morrill & Sons Mining & Exploration,NV,26,13,Humboldt,2.0,Other,10/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41890,2601768,Placer-Goldfield,M,Surface,Abandoned,08/01/1988,M06853,Andersen Eric,L08650,Placer Management Group Ltd,NV,26,9,Esmeralda,2.0,Other,06/25/1986,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41892,2601770,Juniata,M,Underground,Abandoned,02/02/1983,M00087,Hanna M A Company,L05625,Siskon Corp,NV,26,21,Mineral,2.0,Corporation,10/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41894,2601772,Oremonte,M,Underground,Abandoned,10/27/1981,M04472,Nevada Resources & Development Corp,L05302,Nevada Resources & Development Inc,NV,26,9,Esmeralda,2.0,Other,07/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41895,2601773,Mohawk Ii Mine,M,Underground,Abandoned,04/18/1983,M36315,Mine Management Inc,L36315,Mine Management Inc,NV,26,9,Esmeralda,2.0,Other,10/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41896,2601774,Dayton Properties,M,Surface,Abandoned,09/07/1982,M38675,Spring Valley Ltd,L38675,Spring Valley Ltd,NV,26,19,Lyon,2.0,Other,10/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41897,2601775,Bell Mountain Mine,M,Surface,Abandoned,10/14/1982,M30863,American Pyramid Resources,L30863,Bell Mountain Mining Company,NV,26,1,Churchill,2.0,Other,10/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41898,2601776,Spring Valley,M,Surface,Abandoned,12/04/2002,0040866,Hau Sun  Ho,0050494,Geo-Nevada Inc.,NV,26,19,Lyon,2.0,Corporation,01/04/2002,M7,M7821,Vacaville CA Field Office,260177605505,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,Never Had 103I Status,,N,,5,8.0,1.0,0.0,0.0,N,,,,,,,,0.0,N,N,N,N,N,301,1.5 miles north of Highway 50 on Highway 341,silver city
41899,2601777,Walker Lake Minerals Inc Hawthorne Assay,M,Facility,Abandoned,01/18/1983,M04639,Peter  Candy,L05736,Walker Lake Minerals Inc,NV,26,21,Mineral,2.0,Other,02/03/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41901,2601779,Quartette Searchlight Mine,M,Facility,Abandoned,09/20/1984,M05322,Roeder John,L06681,Nevada Oil & Mineral Corp,NV,26,3,Clark,1.0,Corporation,12/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41902,2601780,Duncan Mine,M,Facility,Abandoned,04/05/1982,M38474,Maple Vernon-Dan Barnette-Nick Kranjac,L38474,Silver Unicorn Limited,NV,26,3,Clark,1.0,Other,12/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41903,2601781,Oasis Mine,M,Surface,Abandoned,06/24/1982,M30597,Hatkoff Reed A,L30597,Auries Mining Development Company,NV,26,23,Nye,2.0,Other,11/01/1981,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41904,2601782,Contact Mine,M,Underground,Abandoned,09/02/1982,M37068,Park Canyon Mining & Development Co Inc,L37068,Park Canyon Mining & Development Co Inc,NV,26,23,Nye,2.0,Other,12/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41905,2601783,Korc Placer Claims,M,Surface,Abandoned,02/15/1983,M04799,Walter  Leonpacher,L05974,Southern Miners Inc,NV,26,19,Lyon,2.0,Other,07/29/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41906,2601784,Dyke Canyon Development,M,Surface,Abandoned,08/25/1982,M35327,L C Doerr Corp,L35327,L C Doerr Corp,NV,26,13,Humboldt,2.0,Corporation,12/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41908,2601786,Ione Placer,M,Surface,Abandoned,11/23/1984,M04638,Marshall Hugh Roy,L05735,Marshall Earth Resources Inc,NV,26,23,Nye,2.0,Other,02/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41911,2601789,Desert Rat Mine,M,Surface,Abandoned,02/15/1983,M35145,Ken Jones Company,L35145,Ken Jones Company,NV,26,1,Churchill,2.0,Other,02/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41912,2601790,THE AURORA PARTNERSHIP,M,Surface,Abandoned,10/13/1999,M06794,Electra Mining Consolidated Ltd,L08563,Aurora Partnership,NV,26,21,Mineral,2.0,Other,04/22/1986,M7,M7851,Elko NV Field Office,260179005518,104100.0,Gold Ore,1041.0,0.0,104400.0,Silver Ore,1044.0,0.0,8.0,Metal,8.0,Metal,,,N,,5,8.0,1.0,,0.0,N,,,,,,,,,N,N,N,N,N,275,,
41913,2601791,Hardluck Mine,M,Surface,Abandoned,08/25/1982,M33943,H & M Minerals,L33943,H & M Minerals,NV,26,27,Pershing,2.0,Other,02/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41918,2601796,Sodaville Mill,M,Facility,Abandoned,05/27/1986,M38556,Sodaville Research Facility,L38556,Sodaville Research Facility,NV,26,21,Mineral,2.0,Other,05/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41920,2601798,Daisy Lane Claims,M,Surface,Abandoned,09/10/1982,M37500,R & J Mining Inc,L37500,R & J Mining Inc,NV,26,23,Nye,2.0,Other,01/01/1950,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41921,2601799,Redhill Mine,M,Surface,Abandoned,08/03/1982,M37684,Redhill Mines Inc,L37684,Redhill Mines Inc,NV,26,27,Pershing,2.0,Other,05/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41922,2601800,Rainbow Mine,M,Surface,Abandoned,06/15/1983,M32962,Armstrong Edwin G,L32962,Edwin G Armstrong,NV,26,1,Churchill,2.0,Other,06/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41923,2601801,Getchell Mine & Mill,M,Facility,Abandoned,06/01/2005,M06246,Barrick Gold Corp,L16736,Barrick Turquoise Ridge Inc,NV,26,13,Humboldt,2.0,Corporation,05/28/1999,M7,M7851,Elko NV Field Office,000097110,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,0.0,0.0,0.0,0.0,N,,,,,,,,1.0,N,N,N,N,N,140,28 N.E. of Golconda,Elko
41924,2601802,One More Mine,M,Surface,Abandoned,08/30/1982,M38059,Russ Coulter-Irv Green Partners,L38059,Russ Coulter-Irv Green Partners,NV,26,27,Pershing,2.0,Other,06/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41925,2601803,M & M And Santa Ana,M,Surface,Abandoned,09/14/1982,M04165,Hunt Kirby P,L05157,District 32 Corp,NV,26,3,Clark,1.0,Corporation,06/01/1982,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41926,2601804,Mabel Garfield Mine,M,Surface,Abandoned,08/04/1983,M04739,Ingle Hugh C Jr & Sr,L05885,Hugh C Ingle Jr,NV,26,21,Mineral,2.0,Other,07/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41927,2601805,Neversweat Mine,M,Surface,Abandoned,08/04/1983,M04582,Johnson Bernie E,L05670,Valley Aggregate Inc,NV,26,21,Mineral,2.0,Other,07/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41928,2601806,Sandra Lee,M,Surface,Abandoned,12/03/1982,M36213,Benickie Michael,L36213,Michael Benickie,NV,26,27,Pershing,2.0,Other,03/01/1981,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41929,2601807,Starbright Mines,M,Surface,Abandoned,06/15/1983,M38726,Starbright Mines,L38726,Starbright Mines,NV,26,1,Churchill,2.0,Other,07/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41930,2601808,Global Mine,M,Surface,Abandoned,05/29/1987,M05000,Poe Don,L06271,Global Natural Resources Inc,NV,26,27,Pershing,2.0,Other,01/05/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41931,2601809,Pine Grove,M,Surface,Abandoned,12/30/1983,M34616,Winebarger John,L34616,J & H Mining Corp,NV,26,19,Lyon,2.0,Corporation,07/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41936,2601814,Catherine Mine,M,Underground,Abandoned,11/23/1984,M04638,Marshall Hugh Roy,L05735,Marshall Earth Resources Inc,NV,26,19,Lyon,2.0,Other,08/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41939,2601817,Gold Cliffs,M,Underground,Abandoned,01/13/1983,M04776,Delany Tom,L05947,Princeton Mining & Refining Ltd,NV,26,21,Mineral,2.0,Other,10/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41941,2601819,Panacea Mill,M,Surface,Abandoned,06/28/1983,M05025,Pouch Alfred J,L06298,Su Oro Co,NV,26,21,Mineral,2.0,Other,10/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41942,2601820,Alaska Mill,M,Facility,Abandoned,01/13/1983,M04776,Delany Tom,L05947,Princeton Mining & Refining Ltd,NV,26,21,Mineral,2.0,Other,10/01/1982,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41943,2601821,Dun Glen Placer,M,Surface,Abandoned,07/29/1993,M10211,Dorow Art,L13371,Sky Scientific Mining & Processing Inc,NV,26,27,Pershing,2.0,Other,07/28/1994,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41945,2601823,Meadow Valley Mine,M,Facility,Abandoned,07/10/1984,M36396,Moapa Valley Mining Ltd,L36396,Moapa Valley Mining Ltd,NV,26,23,Nye,2.0,Other,11/01/1982,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41948,2601826,Penny Mine,M,Surface,Abandoned,07/10/1984,M04612,Ted  Youngquist,L05707,Youngquist Mining Company,NV,26,9,Esmeralda,2.0,Other,12/01/1982,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41950,2601828,Oest Mine,M,Underground,Abandoned,06/06/1986,M06761,Sagin James W G,L08522,Mks Inc,NV,26,19,Lyon,2.0,Other,02/24/1986,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41954,2601832,Amended Crowfoot,M,Surface,Abandoned,09/06/1983,M31981,Ridgway William,L31981,Cold Eagle Mining Co,NV,26,13,Humboldt,2.0,Other,04/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41955,2601833,Jaime'S Ridge,M,Surface,Abandoned,11/03/1983,M03998,Tenneco Inc,L05807,Tenneco Minerals Company,NV,26,21,Mineral,2.0,Other,04/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41957,2601835,Gold Canyon Incorporated,M,Surface,Abandoned,04/24/1986,M06105,Haggard M C,L07682,Gold Canyon Inc,NV,26,19,Lyon,2.0,Other,08/30/1984,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41958,2601836,Spaulding Canyon Placer,M,Surface,Abandoned,04/07/1986,M06402,Westar Corp,L08052,Westar Corp,NV,26,27,Pershing,2.0,Corporation,10/01/1985,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41959,2601837,Frances Mine,M,Underground,Abandoned,07/12/1984,M05032,Moore Duane,L06308,Green Ranch Mining Company,NV,26,21,Mineral,2.0,Other,04/22/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41960,2601838,Rose-Dale,M,Surface,Abandoned,06/12/1985,M36336,Minerals Associates Inc,L36336,Minerals Associates Inc,NV,26,27,Pershing,2.0,Other,04/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41961,2601839,Fire Creek Mine,M,Surface,Abandoned,09/04/1984,M36348,Minex Resources Inc,L36348,Minex Resources Inc,NV,26,15,Lander,2.0,Other,05/24/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41962,2601840,Panacea Mine,M,Surface,Abandoned,06/28/1983,M05025,Pouch Alfred J,L06298,Su Oro Co,NV,26,21,Mineral,2.0,Other,05/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41963,2601841,Eager Beaver Mine,M,Surface,Abandoned,06/08/1984,M03092,Ala John F & Albert K Supp,L03863,Eager Beaver Mine Corp,NV,26,1,Churchill,2.0,Corporation,05/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41964,2601842,Bald Mountain Mine,M,Surface,Active,07/19/1984,M06246,Barrick Gold Corp,0073283,Barrick Gold U S Inc,NV,26,33,White Pine,,Corporation,01/20/2006,M7,M7851,Elko NV Field Office,000349616,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,Never Had 103I Status,,N,,5,8.0,2.0,1.0,380.0,N,115.65111100000001,40.880277,,,,,,0.0,N,N,N,N,Y,70,From Elko go south on Lamoiile Hwy to the Spring Creek Traffic Light Turn right on HWY SR 228 for 29 miles. Turn Right on to the dirt road and travel 15.2 miles. Turn left at the Y and travel 20 miles to the mine site.,Eureka
41965,2601843,DEE GOLD MINE,M,Surface,Abandoned,03/03/2006,M06312,Glamis Gold Ltd,L17029,Dee Gold Mining Company,NV,26,13,Humboldt,2.0,Other,02/26/1999,M7,M7851,Elko NV Field Office,260184305528,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,0.0,0.0,0.0,0.0,N,,,,,,,,1.0,N,N,N,N,N,60,33 miles north of carlin,valmy
41969,2601847,Anderson Canyon Mine,M,Surface,Abandoned,08/29/1983,M05021,Edgar James D,L06294,Westbar Mining Company Inc,NV,26,27,Pershing,2.0,Other,05/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41970,2601848,Victorine Mine,M,Underground,Abandoned,01/10/1990,M07180,Real Del Monte Mining Corp,L09109,Nevada Goldfields Inc,NV,26,15,Lander,2.0,Other,06/16/1986,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41972,2601850,Whipperwill Mine,M,Underground,Abandoned,07/19/1984,M33724,Golden W Mining Co,L33724,Golden W Mining Co,NV,26,21,Mineral,2.0,Other,07/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41974,2601852,Old Sullivan Mine,M,Surface,Abandoned,03/15/1985,M30471,Migel John Michael & James Aspell,L30471,Arizona Hillside Mining Company,NV,26,23,Nye,2.0,Other,07/01/1983,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41976,2601854,Silverhorn Mill,M,Facility,Abandoned,03/27/1985,M05095,Chandler L & R E Nelson,L06403,Silverhorn Research Mill Inc,NV,26,17,Lincoln,2.0,Other,07/01/1983,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41977,2601855,Como Mine,M,Surface,Abandoned,09/04/1984,M04892,Brown James R & Henry Hiel,L06122,Tseng Mining Company,NV,26,19,Lyon,2.0,Other,07/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41979,2601857,RELIEF CANYON,M,Surface,Abandoned,05/12/1999,M10793,Docktor Scott,L14122,New Gold Inc,NV,26,27,Pershing,2.0,Other,01/10/1995,M7,M7851,Elko NV Field Office,260185705506,104100.0,Gold Ore,1041.0,0.0,104400.0,Silver Ore,1044.0,0.0,8.0,Metal,8.0,Metal,,,N,,5,8.0,1.0,,0.0,N,,,,,,,,,N,N,N,N,N,195,,
41981,2601859,New Boston Mill,M,Facility,Abandoned,02/22/1985,M36681,New Boston Mines,L36681,New Boston Mines,NV,26,21,Mineral,2.0,Other,08/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41983,2601861,Princeton Mine,M,Surface,Abandoned,04/24/1985,M37387,Princeton Mining Association Inc,L37387,Princeton Mining Association Inc,NV,26,27,Pershing,2.0,Other,08/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41986,2601864,Bad Luck Mine,M,Surface,Abandoned,05/20/1985,M05123,Elquist James M & John D,L06440,Elquist Mining Inc,NV,26,13,Humboldt,2.0,Other,08/29/1984,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41987,2601865,Osceola Project,M,Surface,Abandoned,12/11/1984,M00196,Continental Materials Corp,L06699,Continental Gold Inc,NV,26,33,White Pine,2.0,Other,07/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41988,2601866,Golden Amethyst,M,Surface,Abandoned,03/03/1986,M37551,R W M Associates Inc,L37551,R W M Associates Inc,NV,26,13,Humboldt,2.0,Other,10/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41989,2601867,Wolff Milling & Mining Operation,M,Surface,Abandoned,05/20/1985,M40359,Wolff Milling & Mining Corp,L40359,Wolff Milling & Mining Corp,NV,26,9,Esmeralda,2.0,Corporation,10/01/1983,M7,M7841,Henderson NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
41990,2601868,Jumbo Mine,M,Surface,Abandoned,03/09/1990,M08297,King Edward B,L10686,E B King,NV,26,13,Humboldt,2.0,Other,07/01/1983,M7,M7851,Elko NV Field Office,,104100.0,Gold Ore,1041.0,0.0,,,,,8.0,Metal,,,,,N,,0,,,,,N,,,,,,,,,N,N,N,N,N,0,,
