idz,MINE_ID,CURRENT_MINE_NAME,COAL_METAL_IND,CURRENT_MINE_TYPE,CURRENT_MINE_STATUS,CURRENT_STATUS_DT,CURRENT_CONTROLLER_ID,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_ID,CURRENT_OPERATOR_NAME,STATE,BOM_STATE_CD,FIPS_CNTY_CD,FIPS_CNTY_NM,CONG_DIST_CD,COMPANY_TYPE,CURRENT_CONTROLLER_BEGIN_DT,DISTRICT,OFFICE_CD,OFFICE_NAME,ASSESS_CTRL_NO,PRIMARY_SIC_CD,PRIMARY_SIC,PRIMARY_SIC_CD_1,PRIMARY_SIC_CD_SFX,SECONDARY_SIC_CD,SECONDARY_SIC,SECONDARY_SIC_CD_1,SECONDARY_SIC_CD_SFX,PRIMARY_CANVASS_CD,PRIMARY_CANVASS,SECONDARY_CANVASS_CD,SECONDARY_CANVASS,CURRENT_103I,CURRENT_103I_DT,PORTABLE_OPERATION,PORTABLE_FIPS_ST_CD,DAYS_PER_WEEK,HOURS_PER_SHIFT,PROD_SHIFTS_PER_DAY,MAINT_SHIFTS_PER_DAY,NO_EMPLOYEES,PART48_TRAINING,LONGITUDE,LATITUDE,AVG_MINE_HEIGHT,MINE_GAS_CATEGORY_CD,METHANE_LIBERATION,NO_PRODUCING_PITS,NO_NONPRODUCING_PITS,NO_TAILING_PONDS,PILLAR_RECOVERY_USED,HIGHWALL_MINER_USED,MULTIPLE_PITS,MINERS_REP_IND,SAFETY_COMMITTEE_IND,MILES_FROM_OFFICE,DIRECTIONS_TO_MINE,NEAREST_TOWN,lon
4150,203257,Clarkdale Metals Corp,M,Facility,Abandoned,09/16/2010,88795,Searchlight Minerals Corp,104946,Clarkdale Metals Corp,AZ,2,25,Yavapai,,Corporation,10/05/2009,M6,M6862,Mesa South AZ Field Office,202237,104100,Gold Ore,1041,0,102100,Copper Ore NEC,1021,0,8,Metal,8,Metal,Never Had 103I Status,,N,,0,,,,,N,112.058888,34.775833,,,,,,0,N,N,N,N,N,110,202 to 101 North to I-17 North to 260 West to 89-A South to Clarkdale train station ,Clarkdale,-112.058888
3541,202620,Gold Road Mine,M,Underground,Active,09/27/2010,105859,Desert Projects INC,L15536,"Mojave Desert Minerals, LLC",AZ,2,15,Mohave,3,Other,12/29/1995,M7,M7841,Henderson NV Field Office,347090,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,7,10,2,1,48,N,114.453056,35.006944,,VI,,,,1,N,N,N,N,N,175,"Take Hwy 95 south out of Bullhead City, AZ to road 153 and turn left. Go about 3 miles past Oatman and the mine is on the left.",Oatman,-114.453056
3296,202367,Moss Mine,M,Surface,Intermittent,06/03/2013,108381,Northern Vertex Corporation,127413,Golden Vertex Corp,AZ,2,15,Mohave,3,Corporation,04/03/2013,M7,M7841,Henderson NV Field Office,330592,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,5,8,2,0,25,N,114.554444,35.074444,,,,,,0,N,N,N,N,N,90,"From Bullhead City get on Bullhead Parkway, go East on Silver creek road for 5.7 miles make a left on BLM road 7717 and proceed 1 mile to mine property",Bullhead City,-114.554444
4187,203297,Foot Hill Mine,M,Surface,Abandoned,02/25/2013,103877,Iftiger Family Trust,122332,Foothill Iftiger LLC,AZ,2,15,Mohave,,Other,03/26/2012,M7,M7841,Henderson NV Field Office,294604,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,114.053055,35.189444,,,,,,0,N,N,N,N,N,95,From EXIT 53 in Kingman to I40 (W)  To EXIT 44 Turn (L)  Go to frontage road turn (R)  Go 2.8 miles turn (L) go under RR tracks on BLM 71/70  Continue over next set of RR tracks   Go through green gate then 3 miles to property  ,Kingman,-114.053055
4163,203271,Tennessee Mine,M,Surface,Intermittent,05/15/2012,104733,William  Miertschin,123331,Hondo Minerals Inc,AZ,2,15,Mohave,,Corporation,05/15/2012,M7,M7841,Henderson NV Field Office,314791,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,8,1,0,14,N,114.190555,35.415,,,,,,0,N,N,N,N,N,75,From Hwy 93 turn on county road 125 to Chloride. Stay on 125 through Chloride to the end of the road and you are at the mine.,Chloride,-114.190555
47697,3102224,Pickett Mining Group ,M,Facility,Intermittent,04/04/2007,63235,Jeff A  Pickett,75326,Pickett Mining Group,NC,31,167,Stanly,,Other,04/03/2007,M3,M3871,Sanford NC Field Office,287932,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,3,8,1,0,8,N,80.188486,35.435628,,,,,,0,N,N,N,N,N,70,"US Hwy 52 North from Albermar, NC left on to SR 1440 Steak House Rd.  First 6ft.",New London,-80.188486
6937,405276,CR Briggs,M,Surface,Active,01/22/1996,104913,Atna Resources Ltd.,L11967,CR Briggs,CA,4,27,Inyo,,Corporation,11/01/1995,M7,M7841,Henderson NV Field Office,343313,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,4,10,1,0,6,N,117.371666,35.762777,,,,,,1,N,N,N,N,N,100,"35 miles NE of Trona, CA.",Trona,-117.371666
4172,203281,Gold Remedy Mine,M,Surface,Intermittent,09/26/2011,100143,Dwayne C  Watson,118167,"DWRGRM, LLC",AZ,2,15,Mohave,,Other,05/17/2011,M7,M7841,Henderson NV Field Office,313517,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,1,1,0,3,N,114.048889,35.8975,,,,,,0,N,N,N,N,N,102,"From Kingman, AZ head north on N. Stockton Hill Rd. travel 41.6 miles until Stockton Hill Rd. ends. Turn right (east) onto Pierce Ferry Rd., travel .3 miles then turn left (north) onto Gregg's Hideout Rd., travel 3.1 miles. Turn left (west) onto Spring St., travel .8 miles and then Turn right (north) onto N. Hideout Rd. (A.K.A. E St.)(cross cattle guard). 1 mile from Spring St. stay left at ""Y"" in road and continue 2.1 further miles crossing the 2nd cattle guard, continue north on N. Hideout rd. (A.K.A. E St.) another 2.6 miles (5.7 miles total on N. Hideout Rd.). Veer right onto the mine entrance road, (GPS - 35* 54' 10.23"", 114* 10' 19.36"",)(A.K.A. Co Hwy 139) it's the only heavily traveled road on the right. Travel .17 miles across Hualapai wash staying right at the ""Y"" in the road, the entry gate is just past the ""Y"". Travel about .7 miles staying left at the next ""Y"". When you can see the buildings, stay to the right and the mine office will be straight ahead in the gray construction trailer.",Meadview,-114.048889
44447,2902417,Velarde Pit,M,Surface,Abandoned,06/14/2013,102487,William  Coppola,120509,"Coppola Mining, LLC",NM,29,39,Rio Arriba,,Other,12/14/2011,M5,M5641,Albuquerque NM Field Office,280199,104100,Gold Ore,1041,0,,,,,8,Metal,,,,,N,,0,0,0,0,0,N,106.074444,35.9675,,,,,,0,N,N,N,N,N,100,About 15 miles North of Espanola turn East on Private Drive 1073 drive all the way to the back.,Velarde,-106.074444
6278,404614,Mesquite,M,Surface,Active,12/01/1986,86853,New Gold Inc,51937,"Western Mesquite Mines, Inc.",CA,4,25,Imperial,,Corporation,11/07/2003,M7,M7831,San Bernardino CA Field Office,348703,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,7,12,2,2,277,N,119.862222,36.838333,,,,,,0,N,N,N,N,N,125,"From Brawley, CA, take Highway 78 east (to Glamis) until you reach the Newmond Gold Co.",Brawley,-119.862222
41625,2601503,Sterling Mine,M,Underground,Active,11/21/2011,M02529,Imperial Metals Corp,L14079,Sterling Gold Mining Corp,NV,26,23,Nye,,Corporation,12/01/1978,M7,M7841,Henderson NV Field Office,346411,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,8,1,0,12,N,116.759167,36.908611,,VI,,,,0,N,N,N,N,N,100,GOing south from Beatty.  12 miles south of Beatty at mile marker 45.8 turn left and follow to the end of the dirt road back to the mine site on the hillside to the left.,Beatty,-116.759167
42834,2602732,Big Blossom,M,Surface,Abandoned,04/22/2013,108443,Wesley D  Harden,127494,"Payday Mines, LLC",NV,26,9,Esmeralda,,Other,03/01/2013,M7,M7841,Henderson NV Field Office,325491,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,117.225,37.105,,,,,,0,N,N,N,N,N,200,"About 36 miles N on 95 past Beatty, NV. Turn left on State Rd #267 and travel 6.5 miles to dirt road towards Hardluck mine and castle. Travel on dirt road about 8.5 miles and turn left, stay left of castle.",Beatty,-117.225
9151,504228,Red Arrow ,M,Underground,Abandoned,04/17/2013,M07916,Craig A  Liukko,L10138,Red Arrow Gold Corporation,CO,5,83,Montezuma,3,Corporation,02/16/1988,M6,M6642,Denver CO Field Office,311205,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,0,,,,,N,108.296666,37.345,,,,,,0,N,N,N,N,N,362,From Mancos go East on Hwy 160 approximately two miles. Then go North on the Echo Basin road approximately one half mile. Go East on the Red Arrow Mine road approximately six miles. Proceed across Shubert Flat and down to river level at East Mancos River Canyon.,Mancos,-108.296666
8657,503674,Mayday - Idaho Mine,M,Underground,Temporarily Idled,01/30/2014,103739,"Varca Ventures, Inc.",72925,Wildcat Mining Corporation,CO,5,67,La Plata,3,Corporation,06/20/2006,M6,M6642,Denver CO Field Office,302286,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,,,0,3,N,108.075833,37.349722,,VI,,,,0,N,N,N,N,N,345,"County Rd 124 to address 4348, take dirt road down to river, cross bridge, must have key to gate.",Hesperus,-108.075833
9283,504407,Chesapeake,M,Facility,Intermittent,02/13/2014,98693,Murphy Mining & Exploration LLC,127313,"Murphy Mining & Exploration, LLC",CO,5,119,Teller,5,Other,01/01/2012,M6,M6642,Denver CO Field Office,310489,104100,Gold Ore,1041,0,,,,,8,Metal,,,,,N,,5,8,1,0,3,N,121.825556,37.384167,,,,,,0,N,N,N,N,N,140,"Take Hwy 67 South to Victor, take a right onto CR84 (Range View Rd).  Take 1st right after 1st switchback (#550).",Victor,-121.825556
7405,405781,Mockingbird Mine,M,Underground,Active,11/16/2011,84453,John  Emmett; Lucretia  Emmett,100045,Emmett's Excavation Inc,CA,4,43,Mariposa,,Corporation,03/25/2009,M7,M7821,Vacaville CA Field Office,347108,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,8,1,0,2,N,119.965278,37.553333,,VI,,,,0,N,N,N,N,N,174,"HWY 12 E TO I-5 S TO CA 99 S TO MARIPOSA/YOSEMITE EXIT, TURN LEFT ON CA 140, LEFT ON EAST WHITLOCK RD, RIGHT ON COLORADO RD, PASS SOIGN 5559, MINE IS ON THE RIGHT.",CLOVIS,-119.965278
5749,403828,Colorado Quartz,M,Underground,Abandoned,03/30/2014,83295,Lance W  Barker,L10885,Colorado Quartz Gold Corp,CA,4,43,Mariposa,,Corporation,12/13/1988,M7,M7821,Vacaville CA Field Office,346326,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,119.97,37.556667,,VI,,,,0,N,N,N,N,N,200,80 EAST TO HWY 99 SOUTH TO HWY 140 EAST  THROUGH MARIPOSA ABOUT 7 MILE NORTH MARIPOSA TURN LEFT EAST WHITLOCK RD. GO ABOUT 5 MILES TURN RIGHT ON COLORADO RD GO 1.5 MILES TO 5559 TURN RIGHT TAKE CENTER DIRT ROAD 200 YDS TO THE OFFICE.,MIDPINES,-119.97
42288,2602167,February Premier,M,Underground,Abandoned,02/14/2011,M13508,Lonnie S  Humphries,L17713,Lode Star Gold Inc,NV,26,3,Clark,,Corporation,11/11/1999,M7,M7841,Henderson NV Field Office,246877,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,0,0,0,0,N,117.230833,37.713055,,,,,,0,N,N,N,N,N,220,none,Goldfield,-117.230833
42844,2602743,Columbia Gold Mine,M,Underground,Abandoned,08/09/2013,110101,Patrick J  Hughes; Wayne  Weber,129434,Columbia Gold Mines Ltd,NV,26,9,Esmeralda,,Corporation,06/01/2013,M7,M7841,Henderson NV Field Office,334654,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,,,0,,N,117.235833,37.716388,,,,,,0,N,N,N,N,N,200,95 North to Goldfield. Right on Main Street one mile past cattle guard to 1117 N. Main Street.,Goldfield,-117.235833
42422,2602302,Mineral Ridge Mine,M,Surface,Active,06/11/2012,94253,Pete  Hawley; Chris  Zerga,111425,"Mineral Ridge Gold, LLC",NV,26,9,Esmeralda,2,Other,07/04/2010,M7,M7841,Henderson NV Field Office,344827,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,0,0,1,24,N,117.649444,37.768055,,,,,,2,N,N,N,N,N,270,"From Highway 95 turn south to Silver Peak on Hwy 265 and travel 20 miles to Silver Peak.  Turn off is located 32 miles west of Tonopah.  Travel through town, past the post office, past Foote Minerals, and bear right past some trailers on the southern outskirts of town.  Travel up a graded dirt road 11.1 miles, going over Coyote Pass and bearing right (north) to the West Gate Main entrance.",Silver Peak,-117.649444
42804,2602699,Mineral Ridge Mine,M,Surface,Abandoned,08/01/2011,94253,Pete  Hawley; Chris  Zerga,111425,"Mineral Ridge Gold, LLC",NV,26,9,Esmeralda,,Other,06/24/2011,M7,M7841,Henderson NV Field Office,,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,Y,32,0,0,0,0,0,N,117.649444,37.768055,,,,,,0,N,N,N,N,N,150,"West out of Silver Peak, stay to the right, approximately 11.5 miles to front gate of Mineral Ridge Mine.",Silver Peak,-117.649444
9788,504947,Camp Bird Mine,M,Underground,Temporarily Idled,01/30/2014,105695,The Watley Group LLC,124411,"Caldera Mineral Resources, LLC",CO,5,91,Ouray,,Other,08/14/2012,M6,M6642,Denver CO Field Office,329292,104100,Gold Ore,1041,0,104400,Silver Ore,1044,0,8,Metal,8,Metal,Never Had 103I Status,,N,,5,,,0,6,N,107.726111,37.97,,VI,,,,0,N,N,N,N,N,250,"Camp Bird Mine, 6 Miles Southwest of Ouray, Colorado, up the Camp Bird Mine Road",Ouray,-107.726111
9740,504893,Liberty,M,Underground,Temporarily Idled,01/30/2014,75351,Kenneth J  Orvis; Cristy L  Orvis,89724,"The Mining Company, Inc.",CO,5,91,Ouray,,Corporation,01/01/2008,M6,M6642,Denver CO Field Office,329062,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,4,,,0,3,N,107.7675,37.976389,,VI,,,,0,N,N,N,N,N,190,"From Ouray hwy 550 south .25 mi to rt on CR361 6 mi to rt on CR26A (past Ruby Trust Mine) cross bridge, go up mtn 3 switchbacks at gate take left fork cross creek next rt up steep grade to mine gate",Ouray,-107.7675
7736,501506,Golden Wonder ,M,Underground,Active,10/03/2011,93753,Michael Ray  Schell,110865,Coal Creek Construction,CO,5,53,Hinsdale,3,Corporation,06/01/2010,M6,M6642,Denver CO Field Office,328387,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,5,8,1,0,5,N,107.282778,38.003333,,VI,,,,0,N,N,N,N,N,200,"2.5 miles SE of Lake City.  Following CO Hwy 149, South of Lake City to Vickers Dude Rach, follow an unimproved road through the ranch to the mine.",LAKE CITY,-107.282778
9824,504984,Lower Mountain Top,M,Underground,Abandoned,09/11/2012,100103,Lawrence J  O'Connor,118127,St Sophia Holding Ltd,CO,5,91,Ouray,,Corporation,05/17/2011,M6,M6642,Denver CO Field Office,271437,104100,Gold Ore,1041,0,,,,,8,Metal,,,Never Had 103I Status,,N,,0,,,,,N,107.675833,38.020555,,,,,,0,N,N,N,N,N,301,"á         Hwy 550 to CR 361 (approximately 0.25 miles)     á         Travel 7.45 miles on CR 361 to CR 26A  (CR 26A is at the signed turnoff to ?Yankee Boy Basin?; turn left or south)    á         Travel approximately 1 mile on CR 26A to the Lower Mountain Top working pad  (RD 853.1D on the map below is behind gate)         CR 26A is considered a ?primitive? road by Ouray County classification [Ouray County Road Standards: Section 23.1D(2)(f)].  As such, maintenance is provided seasonally, therefore any out-of-season needs would be coordinated directly with the County and assisted by the St. Sophia Holding Ltd. company.  We are currently awaiting County road crews to plow snow, which is forecast to start on about May 1st.     ",Ouray,-107.675833
